COM;Pot_Cont;Escalao;ORD;COD_Proposta;Contagem;TF;TV|TVFV|TVP;TVV|TVC;TVVz;TFGN;TVGN
ALFAENERGIA;10,35;;;ALFAENERGIA_01;2;1,0042;0,191;0,1229;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_01;2;1,2718;0,191;0,1229;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_01;2;1,5367;0,191;0,1229;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_01;2;1,8399;0,191;0,1229;;;
ALFAENERGIA;1,15;;;ALFAENERGIA_02;2;0,2038;0,190766878;0,122666878;;;
ALFAENERGIA;2,3;;;ALFAENERGIA_02;2;0,3008;0,190766878;0,122666878;;;
ALFAENERGIA;3,45;;;ALFAENERGIA_02;2;0,4142;0,190766878;0,122666878;;;
ALFAENERGIA;4,6;;;ALFAENERGIA_02;2;0,518;0,190766878;0,122666878;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_02;2;0,6095;0,190766878;0,122666878;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_02;2;0,7393;0,190766878;0,122666878;;;
ALFAENERGIA;10,35;;;ALFAENERGIA_02;2;1,0042;0,190766878;0,122666878;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_02;2;1,2718;0,190766878;0,122666878;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_02;2;1,5367;0,190766878;0,122666878;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_02;2;1,8399;0,190766878;0,122666878;;;
ALFAENERGIA;1,15;;;ALFAENERGIA_04;2;0,2038;0,190766878;0,122666878;;;
ALFAENERGIA;2,3;;;ALFAENERGIA_04;2;0,3008;0,190766878;0,122666878;;;
ALFAENERGIA;3,45;;;ALFAENERGIA_04;2;0,4142;0,190766878;0,122666878;;;
ALFAENERGIA;4,6;;;ALFAENERGIA_04;2;0,518;0,190766878;0,122666878;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_04;2;0,6095;0,190766878;0,122666878;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_04;2;0,7393;0,190766878;0,122666878;;;
ALFAENERGIA;10,35;;;ALFAENERGIA_04;2;1,0042;0,190766878;0,122666878;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_04;2;1,2718;0,190766878;0,122666878;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_04;2;1,5367;0,190766878;0,122666878;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_04;2;1,8399;0,190766878;0,122666878;;;
ALFAENERGIA;3,45;;;ALFAENERGIA_01;3;0,4142;0,3549;0,1468;0,1229;;
ALFAENERGIA;4,6;;;ALFAENERGIA_01;3;0,518;0,3549;0,1468;0,1229;;
ALFAENERGIA;5,75;;;ALFAENERGIA_01;3;0,6095;0,3549;0,1468;0,1229;;
ALFAENERGIA;6,9;;;ALFAENERGIA_01;3;0,7393;0,3549;0,1468;0,1229;;
